id,kind,t_host_s,trial,block,phase,last_marker_request_id,last_marker_code,payload_json,name,event_id,code,pulse_ms,t_write_host_s,device_micros,simulated,error
178,marker_request,6.894008900038898,3,1,prepare,161,6,"{""name"": ""trial_start"", ""code"": 2, ""pulse_ms"": 10, ""simulated"": true, ""task"": {""trial"": 3, ""block"": 1, ""phase"": ""prepare"", ""game_phase"": 1, ""tick"": 11, ""phase_blocks"": 0, ""x"": 20.002499999999998, ""y"": 50.0, ""vy"": 0.0, ""raw"": 0.81, ""normalized"": 0, ""smoothed"": 0.0, ""result"": 0, ""collision_object"": 0, ""reason"": """", ""feedback_steps"": 2}, ""timing"": ""callOnFlip""}",trial_start,,2,10,,,True,
179,marker_ack,6.894089300069027,3,1,prepare,178,2,"{""event_id"": 178, ""code"": 2, ""t_write_host_s"": 6.894086900050752, ""device_micros"": null, ""simulated"": true}",,178,2,,6.894086900050752,,True,
181,marker_done,6.90445659996476,3,1,prepare,178,2,"{""event_id"": 178, ""code"": 2, ""device_micros"": null, ""simulated"": true}",,178,2,,,,True,
193,marker_request,7.010921300039627,3,1,feedback,178,2,"{""name"": ""feedback_start"", ""code"": 3, ""pulse_ms"": 10, ""simulated"": true, ""task"": {""trial"": 3, ""block"": 1, ""phase"": ""feedback"", ""game_phase"": 2, ""tick"": 12, ""phase_blocks"": 0, ""x"": 20.0, ""y"": 50.0, ""vy"": 0.0, ""raw"": 0.81, ""normalized"": 0, ""smoothed"": 0.0, ""result"": 0, ""collision_object"": 0, ""reason"": """", ""feedback_steps"": 0}, ""timing"": ""callOnFlip""}",feedback_start,,3,10,,,True,
194,marker_ack,7.010985600063577,3,1,feedback,193,3,"{""event_id"": 193, ""code"": 3, ""t_write_host_s"": 7.010982500039972, ""device_micros"": null, ""simulated"": true}",,193,3,,7.010982500039972,,True,
196,marker_done,7.021519200061448,3,1,feedback,193,3,"{""event_id"": 193, ""code"": 3, ""device_micros"": null, ""simulated"": true}",,193,3,,,,True,
221,marker_request,7.2604140000185,3,1,result,193,3,"{""name"": ""success"", ""code"": 4, ""pulse_ms"": 10, ""simulated"": true, ""task"": {""trial"": 3, ""block"": 1, ""phase"": ""result"", ""game_phase"": 4, ""tick"": 14, ""phase_blocks"": 0, ""x"": 20.002499999999998, ""y"": 50.0, ""vy"": 0.0, ""raw"": 0.81, ""normalized"": 0, ""smoothed"": 0.0, ""result"": 1, ""collision_object"": 0, ""reason"": ""duration"", ""feedback_steps"": 2}, ""timing"": ""callOnFlip""}",success,,4,10,,,True,
222,marker_ack,7.260491900029592,3,1,result,221,4,"{""event_id"": 221, ""code"": 4, ""t_write_host_s"": 7.260488900006749, ""device_micros"": null, ""simulated"": true}",,221,4,,7.260488900006749,,True,
224,marker_done,7.270567800034769,3,1,result,221,4,"{""event_id"": 221, ""code"": 4, ""device_micros"": null, ""simulated"": true}",,221,4,,,,True,
238,marker_request,7.394058600068092,3,1,iti,221,4,"{""name"": ""trial_end"", ""code"": 6, ""pulse_ms"": 10, ""simulated"": true, ""task"": {""trial"": 3, ""block"": 1, ""phase"": ""iti"", ""game_phase"": 6, ""tick"": 15, ""phase_blocks"": 0, ""x"": 20.002499999999998, ""y"": 50.0, ""vy"": 0.0, ""raw"": 0.81, ""normalized"": 0, ""smoothed"": 0.0, ""result"": 1, ""collision_object"": 0, ""reason"": ""duration"", ""feedback_steps"": 2}, ""timing"": ""callOnFlip""}",trial_end,,6,10,,,True,
240,marker_ack,7.394271300057881,3,1,iti,238,6,"{""event_id"": 238, ""code"": 6, ""t_write_host_s"": 7.394268900039606, ""device_micros"": null, ""simulated"": true}",,238,6,,7.394268900039606,,True,
242,marker_done,7.404767400003038,3,1,iti,238,6,"{""event_id"": 238, ""code"": 6, ""device_micros"": null, ""simulated"": true}",,238,6,,,,True,
256,marker_request,7.527854199986905,4,1,prepare,238,6,"{""name"": ""trial_start"", ""code"": 2, ""pulse_ms"": 10, ""simulated"": true, ""task"": {""trial"": 4, ""block"": 1, ""phase"": ""prepare"", ""game_phase"": 1, ""tick"": 16, ""phase_blocks"": 0, ""x"": 20.002499999999998, ""y"": 50.0, ""vy"": 0.0, ""raw"": 0.81, ""normalized"": 0, ""smoothed"": 0.0, ""result"": 0, ""collision_object"": 0, ""reason"": """", ""feedback_steps"": 2}, ""timing"": ""callOnFlip""}",trial_start,,2,10,,,True,
257,marker_ack,7.5280012000584975,4,1,prepare,256,2,"{""event_id"": 256, ""code"": 2, ""t_write_host_s"": 7.527998000034131, ""device_micros"": null, ""simulated"": true}",,256,2,,7.527998000034131,,True,
259,marker_done,7.538130800006911,4,1,prepare,256,2,"{""event_id"": 256, ""code"": 2, ""device_micros"": null, ""simulated"": true}",,256,2,,,,True,
271,marker_request,7.644686799962074,4,1,feedback,256,2,"{""name"": ""feedback_start"", ""code"": 3, ""pulse_ms"": 10, ""simulated"": true, ""task"": {""trial"": 4, ""block"": 1, ""phase"": ""feedback"", ""game_phase"": 2, ""tick"": 17, ""phase_blocks"": 0, ""x"": 20.0, ""y"": 50.0, ""vy"": 0.0, ""raw"": 0.81, ""normalized"": 0, ""smoothed"": 0.0, ""result"": 0, ""collision_object"": 0, ""reason"": """", ""feedback_steps"": 0}, ""timing"": ""callOnFlip""}",feedback_start,,3,10,,,True,
272,marker_ack,7.644767999998294,4,1,feedback,271,3,"{""event_id"": 271, ""code"": 3, ""t_write_host_s"": 7.644764199969359, ""device_micros"": null, ""simulated"": true}",,271,3,,7.644764199969359,,True,
274,marker_done,7.655288800015114,4,1,feedback,271,3,"{""event_id"": 271, ""code"": 3, ""device_micros"": null, ""simulated"": true}",,271,3,,,,True,
300,marker_request,7.893955699983053,4,1,result,271,3,"{""name"": ""success"", ""code"": 4, ""pulse_ms"": 10, ""simulated"": true, ""task"": {""trial"": 4, ""block"": 1, ""phase"": ""result"", ""game_phase"": 4, ""tick"": 19, ""phase_blocks"": 0, ""x"": 20.002499999999998, ""y"": 50.0, ""vy"": 0.0, ""raw"": 0.81, ""normalized"": 0, ""smoothed"": 0.0, ""result"": 1, ""collision_object"": 0, ""reason"": ""duration"", ""feedback_steps"": 2}, ""timing"": ""callOnFlip""}",success,,4,10,,,True,
301,marker_ack,7.8940271000610664,4,1,result,300,4,"{""event_id"": 300, ""code"": 4, ""t_write_host_s"": 7.8940240000374615, ""device_micros"": null, ""simulated"": true}",,300,4,,7.8940240000374615,,True,
303,marker_done,7.904730200069025,4,1,result,300,4,"{""event_id"": 300, ""code"": 4, ""device_micros"": null, ""simulated"": true}",,300,4,,,,True,
316,marker_request,8.02805530000478,4,1,iti,300,4,"{""name"": ""trial_end"", ""code"": 6, ""pulse_ms"": 10, ""simulated"": true, ""task"": {""trial"": 4, ""block"": 1, ""phase"": ""iti"", ""game_phase"": 6, ""tick"": 20, ""phase_blocks"": 0, ""x"": 20.002499999999998, ""y"": 50.0, ""vy"": 0.0, ""raw"": 0.81, ""normalized"": 0, ""smoothed"": 0.0, ""result"": 1, ""collision_object"": 0, ""reason"": ""duration"", ""feedback_steps"": 2}, ""timing"": ""callOnFlip""}",trial_end,,6,10,,,True,
318,marker_ack,8.028217899962328,4,1,iti,316,6,"{""event_id"": 316, ""code"": 6, ""t_write_host_s"": 8.028212500037625, ""device_micros"": null, ""simulated"": true}",,316,6,,8.028212500037625,,True,
320,marker_done,8.038532000035048,4,1,iti,316,6,"{""event_id"": 316, ""code"": 6, ""device_micros"": null, ""simulated"": true}",,316,6,,,,True,
332,marker_request,8.144327800022438,5,1,prepare,316,6,"{""name"": ""trial_start"", ""code"": 2, ""pulse_ms"": 10, ""simulated"": true, ""task"": {""trial"": 5, ""block"": 1, ""phase"": ""prepare"", ""game_phase"": 1, ""tick"": 21, ""phase_blocks"": 0, ""x"": 20.002499999999998, ""y"": 50.0, ""vy"": 0.0, ""raw"": 0.81, ""normalized"": 0, ""smoothed"": 0.0, ""result"": 0, ""collision_object"": 0, ""reason"": """", ""feedback_steps"": 2}, ""timing"": ""callOnFlip""}",trial_start,,2,10,,,True,
333,marker_ack,8.144402600009926,5,1,prepare,332,2,"{""event_id"": 332, ""code"": 2, ""t_write_host_s"": 8.144399599987082, ""device_micros"": null, ""simulated"": true}",,332,2,,8.144399599987082,,True,
335,marker_done,8.154786700033583,5,1,prepare,332,2,"{""event_id"": 332, ""code"": 2, ""device_micros"": null, ""simulated"": true}",,332,2,,,,True,
347,marker_request,8.261500500026159,5,1,feedback,332,2,"{""name"": ""feedback_start"", ""code"": 3, ""pulse_ms"": 10, ""simulated"": true, ""task"": {""trial"": 5, ""block"": 1, ""phase"": ""feedback"", ""game_phase"": 2, ""tick"": 22, ""phase_blocks"": 0, ""x"": 20.0, ""y"": 50.0, ""vy"": 0.0, ""raw"": 0.81, ""normalized"": 0, ""smoothed"": 0.0, ""result"": 0, ""collision_object"": 0, ""reason"": """", ""feedback_steps"": 0}, ""timing"": ""callOnFlip""}",feedback_start,,3,10,,,True,
348,marker_ack,8.261588499997742,5,1,feedback,347,3,"{""event_id"": 347, ""code"": 3, ""t_write_host_s"": 8.26158489997033, ""device_micros"": null, ""simulated"": true}",,347,3,,8.26158489997033,,True,
350,marker_done,8.272529900074005,5,1,feedback,347,3,"{""event_id"": 347, ""code"": 3, ""device_micros"": null, ""simulated"": true}",,347,3,,,,True,
376,marker_request,8.510386700043455,5,1,result,347,3,"{""name"": ""success"", ""code"": 4, ""pulse_ms"": 10, ""simulated"": true, ""task"": {""trial"": 5, ""block"": 1, ""phase"": ""result"", ""game_phase"": 4, ""tick"": 24, ""phase_blocks"": 0, ""x"": 20.002499999999998, ""y"": 50.0, ""vy"": 0.0, ""raw"": 0.81, ""normalized"": 0, ""smoothed"": 0.0, ""result"": 1, ""collision_object"": 0, ""reason"": ""duration"", ""feedback_steps"": 2}, ""timing"": ""callOnFlip""}",success,,4,10,,,True,
377,marker_ack,8.51046140003018,5,1,result,376,4,"{""event_id"": 376, ""code"": 4, ""t_write_host_s"": 8.510458300006576, ""device_micros"": null, ""simulated"": true}",,376,4,,8.510458300006576,,True,
379,marker_done,8.521062899962999,5,1,result,376,4,"{""event_id"": 376, ""code"": 4, ""device_micros"": null, ""simulated"": true}",,376,4,,,,True,
393,marker_request,8.644078099983744,5,1,iti,376,4,"{""name"": ""trial_end"", ""code"": 6, ""pulse_ms"": 10, ""simulated"": true, ""task"": {""trial"": 5, ""block"": 1, ""phase"": ""iti"", ""game_phase"": 6, ""tick"": 25, ""phase_blocks"": 0, ""x"": 20.002499999999998, ""y"": 50.0, ""vy"": 0.0, ""raw"": 0.81, ""normalized"": 0, ""smoothed"": 0.0, ""result"": 1, ""collision_object"": 0, ""reason"": ""duration"", ""feedback_steps"": 2}, ""timing"": ""callOnFlip""}",trial_end,,6,10,,,True,
395,marker_ack,8.644175600027665,5,1,iti,393,6,"{""event_id"": 393, ""code"": 6, ""t_write_host_s"": 8.644172700005583, ""device_micros"": null, ""simulated"": true}",,393,6,,8.644172700005583,,True,
397,marker_done,8.654535799985752,5,1,iti,393,6,"{""event_id"": 393, ""code"": 6, ""device_micros"": null, ""simulated"": true}",,393,6,,,,True,
409,marker_request,8.762032099999487,6,1,prepare,393,6,"{""name"": ""trial_start"", ""code"": 2, ""pulse_ms"": 10, ""simulated"": true, ""task"": {""trial"": 6, ""block"": 1, ""phase"": ""prepare"", ""game_phase"": 1, ""tick"": 26, ""phase_blocks"": 0, ""x"": 20.002499999999998, ""y"": 50.0, ""vy"": 0.0, ""raw"": 0.81, ""normalized"": 0, ""smoothed"": 0.0, ""result"": 0, ""collision_object"": 0, ""reason"": """", ""feedback_steps"": 2}, ""timing"": ""callOnFlip""}",trial_start,,2,10,,,True,
410,marker_ack,8.762124600005336,6,1,prepare,409,2,"{""event_id"": 409, ""code"": 2, ""t_write_host_s"": 8.762120799976401, ""device_micros"": null, ""simulated"": true}",,409,2,,8.762120799976401,,True,
412,marker_done,8.773086500004865,6,1,prepare,409,2,"{""event_id"": 409, ""code"": 2, ""device_micros"": null, ""simulated"": true}",,409,2,,,,True,
