id,kind,t_host_s,trial,block,phase,last_marker_request_id,last_marker_code,payload_json,tick,game_phase,x,y,vy,raw,normalized,smoothed,result,collision_object,reason,grip_sample_id,scheduled_lateness_s
345,task,8.244777000043541,5,1,feedback,332,2,"{""trial"": 5, ""block"": 1, ""phase"": ""feedback"", ""game_phase"": 2, ""tick"": 23, ""phase_blocks"": 1, ""x"": 20.0, ""y"": 50.0, ""vy"": 0.0, ""raw"": 0.81, ""normalized"": 0, ""smoothed"": 0.0, ""result"": 0, ""collision_object"": 0, ""reason"": """", ""feedback_steps"": 0, ""grip_sample_id"": 344, ""scheduled_lateness_s"": 0.0006912000244483352}",23,2,20.0,50.0,0.0,0.81,0,0.0,0,0,,344,0.0006912000244483352
361,task,8.377046899986453,5,1,feedback,347,3,"{""trial"": 5, ""block"": 1, ""phase"": ""feedback"", ""game_phase"": 2, ""tick"": 24, ""phase_blocks"": 2, ""x"": 20.00125, ""y"": 50.0, ""vy"": 0.0, ""raw"": 0.81, ""normalized"": 0, ""smoothed"": 0.0, ""result"": 0, ""collision_object"": 0, ""reason"": """", ""feedback_steps"": 1, ""grip_sample_id"": 360, ""scheduled_lateness_s"": 0.007937900023534894}",24,2,20.00125,50.0,0.0,0.81,0,0.0,0,0,,360,0.007937900023534894
373,task,8.494138200068846,5,1,result,347,3,"{""trial"": 5, ""block"": 1, ""phase"": ""result"", ""game_phase"": 4, ""tick"": 25, ""phase_blocks"": 1, ""x"": 20.002499999999998, ""y"": 50.0, ""vy"": 0.0, ""raw"": 0.81, ""normalized"": 0, ""smoothed"": 0.0, ""result"": 1, ""collision_object"": 0, ""reason"": ""duration"", ""feedback_steps"": 2, ""grip_sample_id"": 372, ""scheduled_lateness_s"": 2.9199989512562752e-05}",25,4,20.002499999999998,50.0,0.0,0.81,0,0.0,1,0,duration,372,2.9199989512562752e-05
390,task,8.627566699986346,5,1,iti,376,4,"{""trial"": 5, ""block"": 1, ""phase"": ""iti"", ""game_phase"": 6, ""tick"": 26, ""phase_blocks"": 1, ""x"": 20.002499999999998, ""y"": 50.0, ""vy"": 0.0, ""raw"": 0.81, ""normalized"": 0, ""smoothed"": 0.0, ""result"": 1, ""collision_object"": 0, ""reason"": ""duration"", ""feedback_steps"": 2, ""grip_sample_id"": 389, ""scheduled_lateness_s"": 0.008483499987050891}",26,6,20.002499999999998,50.0,0.0,0.81,0,0.0,1,0,duration,389,0.008483499987050891
406,task,8.744363800040446,6,1,prepare,393,6,"{""trial"": 6, ""block"": 1, ""phase"": ""prepare"", ""game_phase"": 1, ""tick"": 27, ""phase_blocks"": 1, ""x"": 20.002499999999998, ""y"": 50.0, ""vy"": 0.0, ""raw"": 0.81, ""normalized"": 0, ""smoothed"": 0.0, ""result"": 0, ""collision_object"": 0, ""reason"": """", ""feedback_steps"": 2, ""grip_sample_id"": 405, ""scheduled_lateness_s"": 0.00027680001221597195}",27,1,20.002499999999998,50.0,0.0,0.81,0,0.0,0,0,,405,0.00027680001221597195
423,task,8.87747130007483,6,1,feedback,409,2,"{""trial"": 6, ""block"": 1, ""phase"": ""feedback"", ""game_phase"": 2, ""tick"": 28, ""phase_blocks"": 1, ""x"": 20.0, ""y"": 50.0, ""vy"": 0.0, ""raw"": 0.81, ""normalized"": 0, ""smoothed"": 0.0, ""result"": 0, ""collision_object"": 0, ""reason"": """", ""feedback_steps"": 0, ""grip_sample_id"": 422, ""scheduled_lateness_s"": 0.008380800019949675}",28,2,20.0,50.0,0.0,0.81,0,0.0,0,0,,422,0.008380800019949675
440,task,9.011121200048365,6,1,feedback,426,3,"{""trial"": 6, ""block"": 1, ""phase"": ""feedback"", ""game_phase"": 2, ""tick"": 29, ""phase_blocks"": 2, ""x"": 20.00125, ""y"": 50.0, ""vy"": 0.0, ""raw"": 0.81, ""normalized"": 0, ""smoothed"": 0.0, ""result"": 0, ""collision_object"": 0, ""reason"": """", ""feedback_steps"": 1, ""grip_sample_id"": 439, ""scheduled_lateness_s"": 0.017023200052790344}",29,2,20.00125,50.0,0.0,0.81,0,0.0,0,0,,439,0.017023200052790344
452,task,9.129770600004122,6,1,result,426,3,"{""trial"": 6, ""block"": 1, ""phase"": ""result"", ""game_phase"": 4, ""tick"": 30, ""phase_blocks"": 1, ""x"": 20.002499999999998, ""y"": 50.0, ""vy"": 0.0, ""raw"": 0.81, ""normalized"": 0, ""smoothed"": 0.0, ""result"": 1, ""collision_object"": 0, ""reason"": ""duration"", ""feedback_steps"": 2, ""grip_sample_id"": 451, ""scheduled_lateness_s"": 0.010660800035111606}",30,4,20.002499999999998,50.0,0.0,0.81,0,0.0,1,0,duration,451,0.010660800035111606
467,task,9.24466950003989,6,1,iti,455,4,"{""trial"": 6, ""block"": 1, ""phase"": ""iti"", ""game_phase"": 6, ""tick"": 31, ""phase_blocks"": 1, ""x"": 20.002499999999998, ""y"": 50.0, ""vy"": 0.0, ""raw"": 0.81, ""normalized"": 0, ""smoothed"": 0.0, ""result"": 1, ""collision_object"": 0, ""reason"": ""duration"", ""feedback_steps"": 2, ""grip_sample_id"": 466, ""scheduled_lateness_s"": 0.0005854000337421894}",31,6,20.002499999999998,50.0,0.0,0.81,0,0.0,1,0,duration,466,0.0005854000337421894
485,task,9.378327300073579,7,1,prepare,470,6,"{""trial"": 7, ""block"": 1, ""phase"": ""prepare"", ""game_phase"": 1, ""tick"": 32, ""phase_blocks"": 1, ""x"": 20.002499999999998, ""y"": 50.0, ""vy"": 0.0, ""raw"": 0.81, ""normalized"": 0, ""smoothed"": 0.0, ""result"": 0, ""collision_object"": 0, ""reason"": """", ""feedback_steps"": 2, ""grip_sample_id"": 484, ""scheduled_lateness_s"": 0.00924250006210059}",32,1,20.002499999999998,50.0,0.0,0.81,0,0.0,0,0,,484,0.00924250006210059
502,task,9.510723900049925,7,1,feedback,488,2,"{""trial"": 7, ""block"": 1, ""phase"": ""feedback"", ""game_phase"": 2, ""tick"": 33, ""phase_blocks"": 1, ""x"": 20.0, ""y"": 50.0, ""vy"": 0.0, ""raw"": 0.81, ""normalized"": 0, ""smoothed"": 0.0, ""result"": 0, ""collision_object"": 0, ""reason"": """", ""feedback_steps"": 0, ""grip_sample_id"": 501, ""scheduled_lateness_s"": 0.01662969996687025}",33,2,20.0,50.0,0.0,0.81,0,0.0,0,0,,501,0.01662969996687025
517,task,9.628387200064026,7,1,feedback,504,3,"{""trial"": 7, ""block"": 1, ""phase"": ""feedback"", ""game_phase"": 2, ""tick"": 34, ""phase_blocks"": 2, ""x"": 20.00125, ""y"": 50.0, ""vy"": 0.0, ""raw"": 0.81, ""normalized"": 0, ""smoothed"": 0.0, ""result"": 0, ""collision_object"": 0, ""reason"": """", ""feedback_steps"": 1, ""grip_sample_id"": 516, ""scheduled_lateness_s"": 0.009286200045607984}",34,2,20.00125,50.0,0.0,0.81,0,0.0,0,0,,516,0.009286200045607984
530,task,9.744935999973677,7,1,result,504,3,"{""trial"": 7, ""block"": 1, ""phase"": ""result"", ""game_phase"": 4, ""tick"": 35, ""phase_blocks"": 1, ""x"": 20.002499999999998, ""y"": 50.0, ""vy"": 0.0, ""raw"": 0.81, ""normalized"": 0, ""smoothed"": 0.0, ""result"": 1, ""collision_object"": 0, ""reason"": ""duration"", ""feedback_steps"": 2, ""grip_sample_id"": 529, ""scheduled_lateness_s"": 0.0008308000396937132}",35,4,20.002499999999998,50.0,0.0,0.81,0,0.0,1,0,duration,529,0.0008308000396937132
